,A s a l,P e j a b a t,M a s a   j a b a t a n
0,Austria,Oskar Dressler,1923–1946
1,Prancis,Louis Ducloux,1946–1951
2,Prancis,Marcel Sicot,1951–1963
3,Prancis,Jean Népote,1963–26 Oktober 1978
4,Prancis,André Bossard,Oktober 1978–Oktober 1985
5,Britania Raya,Raymond Kendall,Oktober 1985–2 Oktober 2000
6,Amerika Serikat,Ronald Noble,3 November 2000–7 November 2014
7,Jerman,Jürgen Stock,7 November 2014–kini
