,G a m b a r,P e c a h a n,T a h u n   p e n g e l u a r a n
0,,5 millim,2005
1,,10 millim,2005
2,,20 millim,1960
3,,50 millim,2007
4,,100 millim,2008
5,,200 millim,2013
6,,1⁄2 dinar (500 millim),2007
7,,1 dinar (1.000 millim),2009
8,,2 dinar (2.000 millim),2013
9,,5 dinar (5.000 millim),2002
