,N a m a,N e g a r a,M a s a   m e n j a b a t
0,Demetrius Vikelas,Yunani,1894-1896
1,Pierre de Coubertin,Prancis,1896-1925
2,Henri de Baillet-Latour,Belgia,1925-1942
3,Sigfrid Edström,Swedia,1946-1952
4,Avery Brundage,Amerika Serikat,1952-1972
5,Lord Killanin,Irlandia,1972-1980
6,Juan Antonio Samaranch,Spanyol,1980-2001
7,Jacques Rogge,Belgia,2001-2013
8,Thomas Bach,Jerman,2013-
