,D a r i   R a n k i n e,K e   R a n k i n e
0,"[°C] = ([°R] − 491,67) × 5⁄9","[°R] = ([°C] + 273,15) × 9⁄5"
1,"[°F] = [°R] − 459,67","[°R] = [°F] + 459,67"
2,[K] = [°R] × 5⁄9,[°R] = [K] × 9⁄5
3,"Untuk rumus interval suhu alih-alih suhu tertentu,1 °R = 1 °F = 5⁄9 °C = 5⁄9 KPerbandingan di antara berbagai skala suhu","Untuk rumus interval suhu alih-alih suhu tertentu,1 °R = 1 °F = 5⁄9 °C = 5⁄9 KPerbandingan di antara berbagai skala suhu"
