,P r o v i n s i,A r e a   ( k m ² ),P o p u l a s i,K e p a d a t a n   ( p d d k . / k m ² )
0,Kota Metropolitan Cagliari,1248,430665,345.08
1,Provinsi Nuoro,5638,209261,3712.0
2,Provinsi Oristano,2990,158353,5295.0
3,Provinsi Sassari,7692,491884,6395.0
4,Provinsi Sardinia Selatan,6530,351586,5384.0
