,K a t a   d a s a r,→,K a t a   s i s i p a n
0,jajah,→,jelajah
1,geber,→,geleber
2,gembung,→,gelembung
3,getar,→,geletar
4,gigi,→,geligi
5,golok,→,gelogok
6,luhur,→,leluhur
7,maju,→,melaju
8,patuk,→,pelatuk
9,sidik,→,selidik
10,tapak,→,telapak
11,tujuk,→,telunjuk
