,H u r u f   b e s a r,H u r u f   k e c i l,I P A,H u r u f   b e s a r . 1,H u r u f   k e c i l . 1,I P A . 1
0,A,a,/aː/[b],N,n,/ɛn/
1,B,b,/beː/,O,o,/oː/
2,C,c,/t͡ʃeː/,P,p,/peː/
3,D,d,/deː/,Q,q,/kɪ/
4,E,e,/eː/,R,r,/ɛr/
5,F,f,/ɛf/,S,s,/ɛs/
6,G,g,/geː/,T,t,/teː/
7,H,h,/haː/,U,u,/uː/
8,I,i,/iː/,V,v,/veː/
9,J,j,/d͡ʒeː/,W,w,/weː/
10,K,k,/kaː/,X,x,/eːks/
11,L,l,/ɛl/,Y,y,/jeː/
12,M,m,/ɛm/,Z,z,/sɛt/
