,P e s a w a t,D a l a m   l a y a n a n,D i p e s a n,P e n u m p a n g,C a t a t a n
0,ATR 72-500,10,—,68.0,
1,Viking Air DHC-6-400 Twin Otter,6,—,19.0,Used for rural air service.
2,Total,16,—,,
