,L a p o r a n,K o r b a n   t e r k o n f i r m a s i,P e r i o d e   w a k t u,S u m b e r
0,Warga sipil,"5.401 tewas, 7.466 terluka[e](269 tewas di daerah Donetsk/Luhansk)",24 Februari – 7 Agustus 2022,PBB[211]
1,"Tentara Ukraina (ZSU, NGU)","10.000 tewas, 30.000 terluka",24 Februari – 3 Juni 2022,Pemerintah Ukraina[212][213]
2,"Tentara Rusia(VSRF, Rosgvardiya, FSB)",5.185 tewas (dengan nama),24 Februari – 28 Juli 2022,BBC News Rusia & Mediazona[214]
3,"Tentara Rusia(VSRF, Rosgvardiya, FSB)",5.004 tewas (dengan nama),24 Februari – 7 Agustus 2022,Important Stories[215]
4,Tentara RR Donetsk,"2,534 tewas, 10,761 terluka",26 Februari – 3 Agustus 2022,RR Donetsk[216]
5,Tentara RR Luhansk,500–600 tewas,24 Februari – 5 April 2022,Pemerintah Rusia[217][218][219]
