,N o .,T a n g g a l,T e m p a t,P e n a m p i l a n,L a w a n,S k o r,H a s i l,K o m p e t i s i,R e f
0,1,6 September 2003,"Stadion Gradski, Skopje, Makedonia",6,Makedonia Utara,1–1,2–1,Kualifikasi UEFA Euro 2004,[4]
1,2,10 September 2003,"Old Trafford, Manchester, Inggris",7,Liechtenstein,2–0,2–0,Kualifikasi UEFA Euro 2004,[15]
2,3,16 November 2003,"Old Trafford, Manchester, Inggris",9,Denmark,1–0,2–3,Pertandingan persahabatan,[16]
3,4,5 Juni 2004,"City of Manchester Stadium, Manchester, Inggris",13,Islandia,2–0,6–1,Pertandingan persahabatan,[17]
4,5,5 Juni 2004,"City of Manchester Stadium, Manchester, Inggris",13,Islandia,3–0,6–1,Pertandingan persahabatan,[17]
5,6,17 Juni 2004,"Estádio Cidade de Coimbra, Coimbra, Portugal",15,Swiss,1–0,3–0,UEFA Euro 2004,[7]
6,7,17 Juni 2004,"Estádio Cidade de Coimbra, Coimbra, Portugal",15,Swiss,2–0,3–0,UEFA Euro 2004,[7]
7,8,21 Juni 2004,"Estádio da Luz, Lisbon, Portugal",16,Kroasia,2–1,4–2,UEFA Euro 2004,[18]
8,9,21 Juni 2004,"Estádio da Luz, Lisbon, Portugal",16,Kroasia,3–1,4–2,UEFA Euro 2004,[18]
9,10,17 Agustus 2005,"Stadion Parken, Kopenhagen, Denmark",24,Denmark,1–3,1–4,Pertandingan persahabatan,[19]
10,11,12 November 2005,"Stade de Genève, Jenewa, Swiss",28,Argentina,1–1,3–2,Pertandingan persahabatan,[20]
11,12,15 November 2006,"Amsterdam Arena, Amsterdam, Belanda",36,Belanda,1–0,1–1,Pertandingan persahabatan,[21]
12,13,13 Oktober 2007,"Stadion Wembley, London, Inggris",39,Estonia,2–0,3–0,Kualifikasi UEFA Euro 2008,[22]
13,14,17 Oktober 2007,"Stadion Luzhniki, Moskwa, Rusia",40,Rusia,1–0,1–2,Kualifikasi UEFA Euro 2008,[23]
14,15,10 September 2008,"Stadion Maksimir, Zagreb, Kroasia",46,Kroasia,3–0,4–1,Kualifikasi Piala Dunia FIFA 2010,[24]
15,16,11 Oktober 2008,"Stadion Wembley, London, Inggris",47,Kazakhstan,3–1,5–1,Kualifikasi Piala Dunia FIFA 2010,[25]
16,17,11 Oktober 2008,"Stadion Wembley, London, Inggris",47,Kazakhstan,4–1,5–1,Kualifikasi Piala Dunia FIFA 2010,[25]
17,18,15 Oktober 2008,"Stadion Dinamo, Minsk, Belarus",48,Belarus,2–1,3–1,Kualifikasi Piala Dunia FIFA 2010,[26]
18,19,15 Oktober 2008,"Stadion Dinamo, Minsk, Belarus",48,Belarus,3–1,3–1,Kualifikasi Piala Dunia FIFA 2010,[26]
19,20,28 Maret 2009,"Stadion Wembley, London, Inggris",49,Slowakia,2–0,4–0,Pertandingan persahabatan,[27]
20,21,28 Maret 2009,"Stadion Wembley, London, Inggris",49,Slowakia,4–0,4–0,Pertandingan persahabatan,[27]
21,22,6 Juni 2009,"Stadion Pusat Almaty, Almaty, Kazakhstan",51,Kazakhstan,3–0,4–0,Kualifikasi Piala Dunia FIFA 2010,[28]
22,23,10 Juni 2009,"Stadion Wembley, London, Inggris",52,Andorra,1–0,6–0,Kualifikasi Piala Dunia FIFA 2010,[29]
23,24,10 Juni 2009,"Stadion Wembley, London, Inggris",52,Andorra,3–0,6–0,Kualifikasi Piala Dunia FIFA 2010,[29]
24,25,9 September 2009,"Stadion Wembley, London, Inggris",55,Kroasia,5–1,5–1,Kualifikasi Piala Dunia FIFA 2010,[30]
25,26,7 September 2010,"St. Jakob-Park, Basel, Swiss",67,Swiss,1–0,3–1,Kualifikasi UEFA Euro 2012,[31]
26,27,2 September 2011,"Stadion Nasional Vasil Levski, Sofia, Bulgaria",71,Bulgaria,2–0,3–0,Kualifikasi UEFA Euro 2012,[32]
27,28,2 September 2011,"Stadion Nasional Vasil Levski, Sofia, Bulgaria",71,Bulgaria,3–0,3–0,Kualifikasi UEFA Euro 2012,[32]
28,29,19 Juni 2012,"Donbass Arena, Donetsk, Ukraina",75,Ukraina,1–0,1–0,UEFA Euro 2012,[33]
29,30,12 Oktober 2012,"Stadion Wembley, London, Inggris",77,San Marino,1–0,5–0,Kualifikasi Piala Dunia FIFA 2014,[34]
30,31,12 Oktober 2012,"Stadion Wembley, London, Inggris",77,San Marino,3–0,5–0,Kualifikasi Piala Dunia FIFA 2014,[34]
31,32,17 Oktober 2012,"Stadion Nasional, Warsawa, Polandia",78,Polandia,1–0,1–1,Kualifikasi Piala Dunia FIFA 2014,[35]
32,33,6 Februari 2013,"Stadion Wembley, London, Inggris",79,Brasil,1–0,2–1,Pertandingan persahabatan,[36]
33,34,22 Maret 2013,"Stadion San Marino, Serravalle, San Marino",80,San Marino,6–0,8–0,Kualifikasi Piala Dunia FIFA 2014,[37]
34,35,26 Maret 2013,"Stadion Kota Podgorica, Podgorica, Montenegro",81,Montenegro,1–0,1–1,Kualifikasi Piala Dunia FIFA 2014,[38]
35,36,2 Juni 2013,"Stadion Maracanã, Rio de Janeiro, Brasil",83,Brasil,2–1,2–2,Pertandingan persahabatan,[39]
36,37,11 Oktober 2013,"Stadion Wembley, London, Inggris",85,Montenegro,1–0,4–1,Kualifikasi Piala Dunia FIFA 2014,[40]
37,38,15 Oktober 2013,"Stadion Wembley, London, Inggris",86,Polandia,1–0,2–0,Kualifikasi Piala Dunia FIFA 2014,[41]
38,39,4 Juni 2014,"Stadion Sun Life, Miami, Amerik Serikat",91,Ekuador,1–1,2–2,Pertandingan persahabatan,[42]
39,40,19 Juni 2014,"Arena Corinthians, São Paulo, Brasil",94,Uruguay,1–1,1–2,Piala Dunia FIFA 2014,[12]
40,41,3 September 2014,"Stadion Wembley, London, Inggris",96,Norwegia,1–0,1–0,Pertandingan persahabatan,[43]
41,42,9 Oktober 2014,"Stadion Wembley, London, Inggris",98,San Marino,2–0,5–0,Kualifikasi UEFA Euro 2016,[44]
42,43,12 Oktober 2014,"A. Le Coq Arena, Tallinn, Estonia",99,Estonia,1–0,1–0,Kualifikasi UEFA Euro 2016,[45]
43,44,15 November 2014,"Stadion Wembley, London, Inggris",100,Slovenia,1–1,3–1,Kualifikasi UEFA Euro 2016,[46]
44,45,18 November 2014,"Celtic Park, Glasgow, Skotlandia",101,Skotlandia,2–0,3–1,Pertandingan persahabatan,[47]
45,46,18 November 2014,"Celtic Park, Glasgow, Skotlandia",101,Skotlandia,3–1,3–1,Pertandingan persahabatan,[47]
46,47,27 Maret 2015,"Stadion Wembley, London, Inggris",102,Lituania,1–0,4–0,Kualifikasi UEFA Euro 2016,[48]
47,48,14 Juni 2015,"Stadion Stožice, Ljubljana, Slovenia",105,Slovenia,3–2,3–2,Kualifikasi UEFA Euro 2016,[49]
48,49,5 September 2015,"Stadion San Marino, Serravalle, San Marino",106,San Marino,1–0,6–0,Kualifikasi UEFA Euro 2016,[50]
49,50,8 September 2015,"Stadion Wembley, London, Inggris",107,Swiss,2–0,2–0,Kualifikasi UEFA Euro 2016,[3]
50,51,17 November 2015,"Stadion Wembley, London, Inggris",109,Prancis,2–0,2–0,Pertandingan persahabatan,[51]
51,52,27 Mei 2016,"Stadium of Light, Sunderland, Inggris",110,Australia,2–0,2–1,Pertandingan persahabatan,[52]
52,53,27 Juni 2016,"Stade de Nice, Nice, Prancis",115,Islandia,1–0,1–2,UEFA Euro 2016,[53]
