,N o,T a n g g a l,H a r i,K e t e r a n g a n
0,1,1 Januari,Rabu,Tahun Baru Masehi
1,2,14 Januari,Selasa,Tahun Baru Islam (1 Muharram 1395H)
2,3,25 Maret,Selasa,Maulid Nabi Muhammad SAW (12 Rabiul Awal 1395H)
3,4,28 Maret,Jumat,Wafat Yesus Kristus
4,5,8 Mei,Kamis,Kenaikan Yesus Kristus
5,6,5 Agustus,Selasa,Isra' Mi'raj Nabi Muhammad SAW (27 Rajab 1395H)
6,7,17 Agustus,Minggu,Hari Ulang Tahun Proklamasi Kemerdekaan Republik Indonesia ke-30
7,8,6-7 Oktober,Senin-Selasa,Idul Fitri (1-2 Syawal 1395H)
8,9,13 Desember,Sabtu,Idul Adha (10 Dzulhijjah 1395H)
9,10,25 Desember,Kamis,Hari Raya Natal
