,T i t i k   k o d e,H u r u f   b e s a r P,H u r u f   k e c i l p
0,Unicode,Unicode,U+0050
1,ASCII,Desimal,80
2,ASCII,Biner,01010000
3,EBCDIC,EBCDIC,215
