,N o .,P o s .,N e g a r a,P e m a i n
0,2,DF,ENG,Joel Ward
1,3,DF,NED,Patrick van Aanholt
2,4,MF,SRB,Luka Milivojević (kapten)
3,5,DF,ENG,James Tomkins
4,6,DF,ENG,Scott Dann
5,7,MF,GER,Max Meyer
6,8,MF,SEN,Cheikhou Kouyaté
7,9,FW,GHA,Jordan Ayew
8,10,FW,ENG,Andros Townsend
9,11,FW,CIV,Wilfried Zaha
10,12,DF,FRA,Mamadou Sakho
11,13,GK,WAL,Wayne Hennessey
