,#,F o t o,N a m a,P e r i o d e   J a b a t a n,P e r i o d e   J a b a t a n,D i   b a w a h   P r e s i d e n
0,1,,James Forrestal,17 September 1947,28 Maret 1949,Harry S. Truman
1,2,,Louis A. Johnson,28 Maret 1949,19 September 1950,Harry S. Truman
2,3,,George C. Marshall,21 September 1950,12 September 1951,Harry S. Truman
3,4,,Robert A. Lovett,17 September 1951,20 Januari 1953,Harry S. Truman
4,5,,Charles E. Wilson,28 Januari 1953,8 Oktober 1957,Dwight D. Eisenhower
5,6,,Neil H. McElroy,9 Oktober 1957,1 Desember 1959,Dwight D. Eisenhower
6,7,,Thomas S. Gates,2 Desember 1959,20 Januari 1961,Dwight D. Eisenhower
7,8,,Robert S. McNamara,21 Januari 1961,29 Februari 1968,"John F. Kennedy, Lyndon B. Johnson"
8,9,,Clark M. Clifford,1 Maret 1968,20 Januari 1969,Lyndon B. Johnson
9,10,,Melvin R. Laird,22 Januari 1969,29 Januari 1973,Richard Nixon
10,11,,Elliot L. Richardson,30 Januari 1973,24 Mei 1973,Richard Nixon
11,12,,James R. Schlesinger,2 Juli 1973,19 November 1975,"Richard Nixon, Gerald Ford"
12,13,,Donald H. Rumsfeld,20 November 1975,20 Januari 1977,Gerald Ford
13,14,,Harold Brown,21 Januari 1977,20 Januari 1981,Jimmy Carter
14,15,,Caspar W. Weinberger,21 Januari 1981,23 November 1987,Ronald Reagan
15,16,,Frank C. Carlucci,23 November 1987,20 Januari 1989,Ronald Reagan
16,17,,Richard B. Cheney,21 Maret 1989,20 Januari 1993,George H. W. Bush
17,18,,Les Aspin,21 Januari 1993,3 Februari 1994,Bill Clinton
18,19,,William J. Perry,3 Februari 1994,24 Januari 1997,Bill Clinton
19,20,,William S. Cohen,24 Januari 1997,20 Januari 2001,Bill Clinton
20,21,,Donald H. Rumsfeld,20 Januari 2001,18 Desember 2006,George W. Bush
21,22,,Robert M. Gates,18 Desember 2006,1 Juli 2011,"George W. Bush, Barack Obama"
22,23,,Leon Panetta,1 Juli 2011,27 Februari 2013,Barack Obama
23,24,,Chuck Hagel,27 Februari 2013,17 Februari 2015,Barack Obama
24,25,,Ashton Carter,17 Februari 2015,19 Januari 2017,Barack Obama
25,26,,James Mattis,20 Januari 2017,1 Januari 2019,Donald Trump
26,27,,Mark Esper,23 Juli 2019,9 November 2020,Donald Trump
27,28,,Lloyd Austin,22 Januari 2021,Petahana,Joe Biden
