,T i p e   p e r i l a k u,D a m p a k   k e p a d a   p e l a k u,D a m p a k   k e p a d a   p e n e r i m a
0,Egoistik,Meningkatkan kebugaran,Menurunkan kebugaran
1,Kooperatif,Meningkatkan kebugaran,Meningkatkan kebugaran
2,Altruistik,Menurunkan kebugaran,Meningkatkan kebugaran
3,Pendendam,Menurunkan kebugaran,Menurunkan kebugaran
