,0,1
0,Utara,"Sarawak, Malaysia Timur"
1,Timur,"Provinsi Kalimantan Utara, Provinsi Kalimantan Timur dan Provinsi Kalimantan Tengah"
2,Selatan,Laut Jawa
3,Barat,"Laut Natuna, Selat Karimata dan Semenanjung Malaysia"
