,K o t a [ 1 ],T a h u n   p e m b e r i a n   s t a t u s   k o t a,K a t e d r a l   ( p r a - 1 8 8 8 ),D e w a n   k o t a,F o t o,P o p u l a s i [ b u t u h   r u j u k a n ]
0,Bath1,tidak diketahui,Bath Abbey4,Charter trustees,,83992
1,Birmingham2,33,Tidak berlaku,Distrik pemerintahan daerah,,1073000
2,Bradford1,,Tidak berlaku,Distrik pemerintahan daerah,,293717
3,Brighton & Hove15,,Tidak berlaku,Distrik pemerintahan daerah,,256600
4,Bristol1,,Katedral Bristol,Distrik pemerintahan daerah,,428200
5,Cambridge3,25,Tidak berlaku,Distrik pemerintahan daerah,,123900
6,Canterbury3,tidak diketahui,Katedral Canterbury,Distrik pemerintahan daerah,,43431
7,Carlisle1,,Katedral Carlisle,Distrik pemerintahan daerah,,71773
8,Chelmsford37,,Tidak berlaku,Distrik pemerintahan daerah,,168300
9,Chester3,,Katedral Chester,Charter trustees‡,,90925
10,Chichester1,tidak diketahui,Katedral Chichester,Paroki sipil,,23731
11,Coventry1,,Katedral Coventry5,Distrik pemerintahan daerah,,318600
12,Derby13,,Tidak berlaku,Distrik pemerintahan daerah,,236300
13,Durham1,tidak diketahui,Katedral Durham,Charter trustees‡,,42123
14,Ely1,tidak diketahui,Katedral Ely,Paroki sipil,,15102
15,Exeter1,tidak diketahui,Katedral Exeter,Distrik pemerintahan daerah,,119600
16,Gloucester1,,Katedral Gloucester,Distrik pemerintahan daerah,,123205
17,Hereford119,tidak diketahui,Katedral Hereford,Paroki sipil,,55700
18,Kingston upon Hull12,,Tidak berlaku,Distrik pemerintahan daerah,,256400
19,Lancaster1,26,Tidak berlaku,Distrik pemerintahan daerah,,45952
20,Leeds1,,Tidak berlaku,Distrik pemerintahan daerah,,770800
21,Leicester1,22,Tidak berlaku,Distrik pemerintahan daerah,,294700
22,Lichfield17,tidak diketahui,Katedral Lichfield,Paroki sipil,,30583
23,Lincoln3,tidak diketahui,Katedral Lincoln,Distrik pemerintahan daerah,,88400
24,Liverpool2,,Katedral Liverpool (1880),Distrik pemerintahan daerah,,434900
25,City of London6,tidak diketahui,Katedral St Paul,Distrik pemerintahan daerah,,11500
26,Manchester1,34,Katedral Manchester (1847),Distrik pemerintahan daerah,,503000
27,Newcastle upon Tyne1,,Katedral Newcastle (1882),Distrik pemerintahan daerah,,273600
28,Norwich1,tidak diketahui,Katedral Norwich,Distrik pemerintahan daerah,,132000
29,Nottingham1,,Tidak berlaku,Distrik pemerintahan daerah,,292400
30,Oxford1,,Katedral Gereja Kristen,Distrik pemerintahan daerah,,153900
31,Peterborough2,,Katedral Peterborough,Distrik pemerintahan daerah,,164000
32,Plymouth1,27,Tidak berlaku,Distrik pemerintahan daerah,,256700
33,Portsmouth1,24,Tidak berlaku,Distrik pemerintahan daerah,,200000
34,Preston14,,Tidak berlaku,Distrik pemerintahan daerah,,114300
35,Ripon1,,Katedral Ripon (1836),Paroki sipil,,15922
36,Salford1,24,Tidak berlaku,Distrik pemerintahan daerah,,221300
37,Salisbury35 (sebelumnya bernama New Sarum sampai 2009),,Katedral Salisbury,Paroki sipil‡,,50000
38,Sheffield3,,Tidak berlaku,Distrik pemerintahan daerah,,534500
39,Southampton1,,Tidak berlaku,Distrik pemerintahan daerah,,234100
40,St Albans7,36,Katedral St Albans (1876),Distrik pemerintahan daerah,,64038
41,Stoke-on-Trent3,28,Tidak berlaku,Distrik pemerintahan daerah,,239700
42,Sunderland18,,Tidak berlaku,Distrik pemerintahan daerah,,280300
43,Truro1,,Katedral Truro (1877),Paroki sipil,,17431
44,Wakefield3,,Katedral Wakefield (1888),Distrik pemerintahan daerah,,76886
45,Wells1,,Katedral Wells,Paroki sipil,,10406
46,Westminster21,,Westminster Abbey4,Distrik pemerintahan daerah,,236000
47,Winchester1,tidak diketahui,Katedral Winchester,Distrik pemerintahan daerah,,41420
48,Wolverhampton16,,Tidak berlaku,Distrik pemerintahan daerah,,236400
49,Worcester3,tidak diketahui,Katedral Worcester,Distrik pemerintahan daerah,,94100
50,York18,tidak diketahui,York Minster,Distrik pemerintahan daerah,,195400
