,0,1,2,3,4,5,6,7,8,9
0,Bahasa Indonesia,apa,laut,lihat,kucing,pergi,ular,keras,manis,lutut
1,Bahasa Melayu Pontianak,ape,laot,liat,kucing,pegi,ulagh,keghas,manes,lutot
2,Bahasa Banjar,apa,laut,liat,kucing,tulak,ular,karas,manis,lintuhut/tu'ut
3,Bahasa Minangkabau,apo,lauiʔ,liaiʔ/caliaʔ,kuciang,pai,ula,kareh,manih,lutuiʔ
4,Bahasa Pekal,apo,lawik,liek,kucing,lalu,ulah,kehas,manis,lutuk
5,Bahasa Lampung,api,lawok,liyak,kucing,lapah,ulai,kekhas,manis,tuwot
6,Bahasa Yawi (Pattani),penamo,lauʔ,lihaʔ,kucing,gi,ula,kerah,manih,lutuʔ
7,Bahasa Melayu Setul (Satun),penamɑ,lawt,lihayt,kucin,pi,ulaq,keghaih,manih,lutuyt
8,Bahasa Urak Lawoi',namɑ,lawoiʔ,lihaiʔ,mi'aw,pi,ulal,kras,maneh,lutoiʔ
