,N o,E t n i s,S e n s u s   M a l a y s i a   2 0 2 0,S e n s u s   M a l a y s i a   2 0 2 0
0,1.0,Melayu,2.158.417,"53,83%"
1,2.0,Tionghoa,1.208.652,"30,14%"
2,3.0,Bukan Warga Malaysia,319.167,"7,96%"
3,4.0,India,244.295,"6,09%"
4,5.0,Bumiputera lainnya,60.757,"1,52%"
5,6.0,Etnis lainnya,18.382,"0,46%"
6,,Johor,4.009.670,100%
