,T i t i k   k o d e,T i t i k   k o d e . 1,H u r u f   b e s a r Q,H u r u f   k e c i l q
0,Unicode,Unicode,U+0051,U+0071
1,ASCII,Desimal,81,113
2,ASCII,Biner,01010001,01110001
3,EBCDIC,EBCDIC,216,152
