,0,1,2
0,Theodosius I Wangsa TheodosiusLahir: 11 Januari 347 Meninggal: 17 Januari 395,Theodosius I Wangsa TheodosiusLahir: 11 Januari 347 Meninggal: 17 Januari 395,Theodosius I Wangsa TheodosiusLahir: 11 Januari 347 Meninggal: 17 Januari 395
1,Gelar kebangsawanan,Gelar kebangsawanan,Gelar kebangsawanan
2,Didahului oleh:Valens,"Kaisar Romawi379–395 Bersama dengan: Gratianus, Valentinian II, Arkadius dan Honorius",Diteruskan oleh:Arkadius dan Honorius
