,N o,T e r i t o r i   k o l o n i   /   W i l a y a h   s e b e r a n g   l a u t,P e r i o d e
0,1.0,Kepulauan Canaria,1492–sekarang
1,2.0,Hindia Timur Spanyol,1565–1898
2,3.0,Virreinato Granada Baru,1717–1821
3,4.0,Virreinato Columbia,1492–1821
4,5.0,Virreinato Perú,1542–1824
5,,Virreinato de la Plata,
6,6.0,Spanyol Baru,1519–1821
7,7.0,Sahara Spanyol,1884–1975
