,E t n i s,P o p u l a s i ( 2 0 1 5 ),T o t a l   ( % )
0,Lao,3.427.665,53.2
1,Khmou,708.412,11.0
2,Hmong,595.028,9.2
3,Phouthay,218.108,3.4
4,Tai,201.576,3.1
5,Makong,163.285,2.5
6,Katang,144.255,2.2
7,Lue,126.299,2.0
8,Akha,112.979,1.8
9,Etnis Lainnya,749.153,11.6
10,LAOS,6.492.228,100.0
