,B a h a s a,K a t a,I P A,A r t i
0,Inggris,green,[ɡriːn],"""hijau"""
1,Prancis,sixième,[si.zjɛm],"""keenam"""
2,Thai,กะเหรี่ยง,[ga.riaŋ],"""Orang Karen"""
