,0,1,2
0,,B.Indonesia baku,Bahasa Manado
1,k.ganti orang pertama tunggal,saya,kita
2,k.ganti orang pertama jamak,kami,torang
3,k.ganti orang kedua tunggal,anda,ngana
4,k.ganti orang kedua jamak,kalian,ngoni
5,k.ganti orang ketiga tunggal,dia,dia
6,k.ganti orang ketiga jamak,mereka,dorang
