,N o,T a n g g a l,H a r i,K e t e r a n g a n
0,1,1 Januari,Selasa,Tahun Baru Masehi
1,2,4 Januari,Jumat,Idul Adha (10 Dzulhijjah 1393H)
2,3,25 Januari,Jumat,Tahun Baru Islam (1 Muharram 1394H)
3,4,5 April,Jumat,Maulid Nabi Muhammad SAW (12 Rabiul Awal 1394H)
4,5,12 April,Jumat,Wafat Yesus Kristus
5,6,23 Mei,Kamis,Kenaikan Yesus Kristus
6,7,16 Agustus,Jumat,Isra' Mi'raj Nabi Muhammad SAW (27 Rajab 1394H)
7,8,17 Agustus,Sabtu,Hari Ulang Tahun Proklamasi Kemerdekaan Republik Indonesia ke-29
8,9,17-18 Oktober,Kamis-Jumat,Idul Fitri (1-2 Syawal 1394H)
9,10,24 Desember,Selasa,Idul Adha (10 Dzulhijjah 1394H)
10,11,25 Desember,Rabu,Hari Raya Natal
