,D e s k r i p s i,I P A
0,sengau dwibibir bersuara,[m]
1,sengau bibir-gigi bersuara,[ɱ]
2,sengau rongga gigi bersuara,[n]
3,sengau tarik-belakang bersuara,[ɳ]
4,sengau langit-langit bersuara,[ɲ]
5,sengau langit-langit belakang bersuara,[ŋ]
6,sengau tekak bersuara,[ɴ]
