,N e g a r a,K o t a   /   P r o v i n s i,S t a t u s   p e m b a g i a n,S u m b e r
0,Tiongkok,Kunming,Kota kembar,[50]
1,Tiongkok,Xiamen,Kota kembar,[51]
2,Tiongkok,Zhenjiang,Kota kembar,[52]
3,Indonesia,Kota Pontianak,Kota kembar,[53]
4,Malaysia,Johor Bahru,Kota kembar,[53]
5,Arab Saudi,Jeddah,Kota kembar,[53]
6,Korea Selatan,Guro-gu,Provinsi kembar,[54]
