,F i r a u n,N a m a   H o r u s,T a h u n   b e r k u a s a,P i r a m i d a,P a s a n g a n   h i d u p
0,Kashta,Maare,c. 760 SM – c. 752 SM,Kurru 8,Ratu Pebatjma (Kurru 7?)
1,Piye,Seneferre,c. 752 SM – 721 SM,Kurru 17,Ratu Tabiry (Kurru 53) Ratu Abar (Nuri 53?) Ratu Khensa (Kurru 4) Ratu Peksater (Kurru 54)Nefrukekashta (Kurru 52)
2,Shabaka,Neferkare,721 SM – 707 SM,Kurru 15,Ratu Qalhata (Kurru 5) Ratu Mesbat Ratu Tabekenamun?
3,Shebitku,Djedkare,707 SM – 690 SM,Kurru 18,Ratu Arty (Kurru 6)
4,Taharqa,Khunefertumre,690 – 664 SM,Nuri 1,Ratu Takahatenamun (Nuri 21?) Ratu Atakhebasken (Nuri 36) Ratu Naparaye (Kurru 3) Ratu Tabekenamun?
5,Tantamani,Bakare,664 – 656 SM (meninggal 653 SM),Kurru 16,Ratu Piankharty Ratu [..]salka Ratu Malaqaye? (Nuri 59)
