,F a s e   1,F a s e   1 . 1
0,Bury – Victoria,"159 km (98,8 mi)"
1,Victoria – Deansgate-Castlefield,"19 km (11,8 mi)"
2,Spur to Piccadilly station,"04 km (2,5 mi)"
3,Deansgate-Castlefield – Altrincham,122 km (76 mi)
4,Fase 2,Fase 2
5,Cornbrook – Broadway,31 km (19 mi)
6,Broadway – Eccles,39 km (24 mi)
7,Fase 3,Fase 3
8,Trafford Bar – St Werburgh's Road,26 km (16 mi)
9,Irk Valley – Oldham Mumps,"11 km (6,8 mi)"
