,0,1,2,3,4,5,6,7
0,Afiliasi,Afiliasi,Bangsawan seumur hidup,Bangsawan turun temurun,Bangsawan turun temurun,Bangsawan turun temurun,Rohaniwan,Total
1,Afiliasi,Afiliasi,Bangsawan seumur hidup,Dipilih oleh partai †,Dipilih dewan,Pemegang jabatan kerajaan,Rohaniwan,Total
2,,Buruh,207,2,2,0,-,188
3,,Konservatif,156,39,9,0,-,248
4,,Liberal Demokrat,72,3,2,0,-,98
5,,UKIP,1,1,0,0,-,3
6,,Green,1,0,0,0,-,1
7,,Independen,172,29,2,2,-,205
8,,Non-afiliasi,8,1,0,0,-,30
9,,Rohaniwan,-,-,-,-,26,26
10,Total,Total,617,75,15,2,26,735
