,N o,E t n i s,S e n s u s   M a l a y s i a   2 0 2 0,S e n s u s   M a l a y s i a   2 0 2 0
0,1.0,Kadazan,660.777,"19,33%"
1,2.0,Bajau,565.499,"16,54%"
2,3.0,Melayu,307.494,"8,99%"
3,4.0,Murut,106.468,"3,11%"
4,5.0,Bumiputera lainnya,673.233,"19,69%"
5,6.0,Tionghoa,248.920,"7,28%"
6,7.0,India,5.962,"0,18%"
7,8.0,Etnis lain,39.989,"1,17%"
8,9.0,Bukan Warga Malaysia,810.443,"23,71%"
9,,Sabah,3.418.785,100%
