,B a h a s a,K a t a,I P A,A r t i
0,Armenia,հողմ/hoġm,[hoʁm],"""badai"""
1,Basque,arto,[aɾto],"""jagung"""
2,Belanda,kool,[koːl],"""kubis"""
3,Belarus,конь/kon',[kon̪ʲ],"""kuda"""
4,Denmark,flod,[ˈfloˀð],"""sungai"""
