,B a h a s a   I n d o n e s i a,B a h a s a   B a n g g a i [ 3 ]
0,Satu,Meeng
1,Dua,Lua
2,Tiga,Tolu
3,Empat,Sangkap
4,Lima,Lima
5,Enam,Noom
6,Tujuh,Pitu
7,Delapan,Walu
8,Sembilan,Sio
9,Sepuluh,Songulo
