,P e r i n g k a t,K e l o m p o k,A n g k a,P e r s e n t a s e
0,1.0,Orang asli (Pribumi),59.138.067,"97,4%"
1,2.0,Tionghoa,1.233.214,"2,0%"
2,3.0,Orang Belanda dan Eurasia,240.417,"0,4%"
3,4.0,Orang asing Timur lainnya (termasuk Arab dan India),115.535,"0,2%"
4,,Total,60.727.233,"100,0%"
