,0,1
0,utara,Kecamatan Leuwisari dan Kecamatan Padakembang
1,selatan,Kecamatan Sukarame dan Kecamatan Mangunreja
2,barat,Kecamatan Cigalontang
3,timur,"Kecamatan Mangkubumi, Kota Tasikmalaya"
