,P e t a,S u b d i v i s i,H a n z i,P i n y i n,P o p u l a s i   ( 2 0 1 0 ),W i l a y a h   ( k m 2 ),K e p a d a t a n
0,Kota Proper,Kota Proper,Kota Proper,Kota Proper,Kota Proper,Kota Proper,
1,Distrik Jingkou,京口区,Jīngkǒu Qū,601671,115,5231.92,
2,Distrik Runzhou,润州区,Rùnzhōu Qū,296453,133,2228.96,
3,Subperkotaan,Subperkotaan,Subperkotaan,Subperkotaan,Subperkotaan,Subperkotaan,
4,Distrik Dantu,丹徒区,Dāntú Qū,302276,749,403.57,
5,Kota satelit (Kota tingkat kabupaten),Kota satelit (Kota tingkat kabupaten),Kota satelit (Kota tingkat kabupaten),Kota satelit (Kota tingkat kabupaten),Kota satelit (Kota tingkat kabupaten),Kota satelit (Kota tingkat kabupaten),
6,Danyang,丹阳市,Dānyáng Shì,960418,1059,906.91,
7,Jurong,句容市,Jùróng Shì,617680,1387,445.33,
8,Yangzhong,扬中市,Yángzhōng Shì,334886,332,1008.69,
9,Total,Total,Total,3113384,3799,819.52,
