,T a h u n,G a m e s,T u a n   r u m a h,N e g a r a
0,1930,1,"Hamilton, Ontario",Kanada
1,1934,2,London,"Inggris, Britania Raya"
2,1938,3,"Sydney, New South Wales",Australia
3,1950,4,Auckland,Selandia Baru
