,D h a o   s e c a r a   u m u m,"M b i u ,   L o m b o k ,   M b a l i"
0,pa'iu ‘taji ayam’ (khusunya dengan pisau) pahua ‘taji ayam’ (tanpa pisau),pahua (semua konteks)
1,huki ‘cungkil’ (benda) edo ‘cungkil’ (kelapa),edo ‘cungkil’ (semua konteks)
2,mad'ulu ‘mancing’ (di siang hari) soro ‘mancing’ (di malam hari),maleba ‘mancing’ (semua waktu)
3,"kataki ‘panah, memanah’ kasiro ‘pistol, menembak’","kasiro ‘panah, menambak, memanah’"
4,cèla ‘selam’,"cèla ‘selam, memanah’"
