,B i b i r,R o n g g a   g i g i,L a n g i t - l a n g i t,T a r i k - b e l a k a n g,L a n g i t - l a n g i t b e l a k a n g   d i p a l a t a l k a n,L a n g i t - l a n g i t b e l a k a n g,T e k a k,C e l a h   s u a r a
0,*p,*t,*c /c͡ç/,,,*k,*q,
1,*b,*d,*z /ɟ͡ʝ/,*D /ɖ/,*j /ɡʲ/,*g,,
2,*m,*n,*ñ /ɲ/,,,*ŋ,,
3,,*s,,,,,,*h
4,,*l,,,,,,
5,,*r,,,,*R /ʀ/,,
6,*w,,*y /j/,,,,,
