,K e m a t i a n,P e r i s t i w a,L e t a k,T a n g g a l
0,2.500.000–3.700.000[21],Banjir Cina 1931,Cina,1931.0
1,900.000–2.000.000[butuh rujukan] ||Banjir Sungai Kuning (Huang He) 1887 || China || 1887,,,
2,500.000–700.000[butuh rujukan] ||Banjir Sungai Kuning (Huang He) 1938 || China || 1938,,,
3,235.000-280.000[butuh rujukan],Tsunami Samudra Hindia,Indonesia,2004.0
4,231.000[butuh rujukan] || Kegagalan Bendungan Banqiao akibat Taifun Nina. Sekitar 86.000 tewas karena banjir dan 145.000 lainnya karena penyakit akibat banjir. || Cina || 1975,,,
5,145.000[butuh rujukan] ||Banjir Sungai Yangtze 1935 || Cina || 1935,,,
6,"100.000+[butuh rujukan] ||Banjir St. Felix, banjir badai || Belanda || 1530",,,
7,100.000[butuh rujukan] || Banjir Hanoi dan Delta Sungai Merah || Vietnam Utara || 1971,,,
8,100.000[butuh rujukan] ||Banjir Sungai Yangtze 1911 || Cina || 1911,,,
