,J a b a t a n   p o l i t i k,J a b a t a n   p o l i t i k . 1,J a b a t a n   p o l i t i k . 2
0,Didahului oleh:Mari Alkatiri,Perdana Menteri Timor Leste2006—2007,Diteruskan oleh:Estanislau da Silva
1,Didahului oleh:Xanana Gusmão,Presiden Timor Leste2007—2012,Diteruskan oleh:Taur Matan Ruak
2,Didahului oleh:Francisco Guterres,Presiden Timor Leste2022—sekarang,Diteruskan oleh:Petahana
