,K o d e   b a h a s a   I S O   6 3 9 - 3,K o d e   b a h a s a   B P S,N a m a   b a h a s a,P e n u t u r
0,apg,,Ampanang,Ampanang
1,bdb,,Basap,Basap
2,bei,,Bakati’,Bakati’
3,bfg,,Busang,Busang
4,bhv,,Bahau,Bahau
5,bjn,bjr,Banjar,Banjar
6,bkn,,Bukitan,Bukitan
7,bkr,,Bakumpai,Bakumpai
8,blj,,Bolongan,Bolongan
9,bqr,,Burusu,Burusu
10,bth,,Bidayuh Biatah,Bidayuh
11,bve,,Berau,Berau
12,bvk,,Bukat,Bukat
13,bvu,,Bukit,Bukit
14,byd,,Benyadu’,Benyadu’
15,djo,,Jangkang,Jangkang
16,dun,,Deyah,Deyah
17,duq,,Malang,Malang
18,duw,,Witu,Witu
19,emb,,Embaloh,Embaloh
20,hov,,Hovongan,Hovongan
21,iba,,Iban,Iban
22,kkx,,Kohin,Kohin
23,knl,,Keninjal,Keninjal
24,knx,,Kendayan,Kendayan
25,kqv,,Okolod,Okolod
26,kzi,,Kelabit,Kelabit
27,lbx,,Lawangan,Lawangan
28,lgi,,Lengilu,Lengilu
29,lnd,,Lun Bawang,Lun Bawang
30,lra,,Bakati’ Rara,Rara
31,mhy,,Ma’anyan,Ma’anyan
32,mqg,,Kutai Kota Bangun,Kutai
33,msa,,Malay,Malai
34,mtd,,Mualang,Mualang
35,mvv,,Murut Tagal,Tagal
36,mxd,,Modang,Modang
37,nij,,Ngaju,Ngaju
38,otd,,Ot Danum,Ot Danum
39,pku,,Paku,Paku
40,pni,Aoheng,Aoheng,
41,puc,Merap Punan,Merap,
42,pud,Aput Punan,Aput,
43,puf,Merah Punan,Merah,
44,puj,Tubu Punan,Tubu,
45,put,Putoh,Putoh,
46,rir,Ribun,Ribun,
47,sbr,Murut Sembakung,Sembakung,
48,sbx,Seberuang,Seberuang,
49,scg,Sanggau,Sanggau,
50,sdm,Semandang,Semandang,
51,sdo,Dayak Sadong,Dayak Sadong,
52,sge,Segai,Segai,
53,sjb,Basap Sajau,Sajau,
54,slg,Dayak Selungai,Dayak Selungai,
55,snv,Sa’ban,Sa’ban,
56,sre,Bakati’ Sara,Sara,
57,sya,Siang,Siang,
58,tid,Tidong,Tidong,
59,tjg,Tunjung,Tunjung,
60,tmn,Taman,Taman,
61,tsg,Sug,Sug,
62,twy,Tawoyan,Tawoyan,
63,ulu,Uma’ Lung,Uma’ Lung,
64,vkt,Tenggarong,Tenggarong,
65,whk,Wahau Kenyah,Wahau,
66,whu,Wahau Kayan,Wahau,
67,xay,Kayan Mahakam,Kayan,
68,xdy,Melayu Kalimantan,Melayu Kalimantan,
69,xem,Kembayan,Kembayan,
70,xkd,Mendalam,Mendalam,
71,xke,Kereho,Kereho,
72,xkl,Kenyah Sungai,Kenyah,
73,xkn,Kayan,Kayan,
74,xky,Uma’ Lasan,Uma’ Lasan,
