,P e s a w a t,D a l a m   p e l a y a n a n,D a l a m   p e s a n a n / O p s i,P e n u m p a n g,P e n u m p a n g,P e n u m p a n g,P e n u m p a n g,C a t a t a n
0,Airbus A330-300,15,0/10,0,36,247,283,Diisi dengan interior yang baru
1,Boeing 737-800,15,—,0,16,150,166,
2,Boeing 737-800,39,12/10,0,16,144,160,Pengganti Boeing 737 lama
3,MAS Cargo Fleet,MAS Cargo Fleet,MAS Cargo Fleet,MAS Cargo Fleet,MAS Cargo Fleet,MAS Cargo Fleet,MAS Cargo Fleet,MAS Cargo Fleet
4,Airbus A330-200F,4,—,,,,,
5,Boeing 747-400F,2,—,,,,,
6,Total,108,12/20,,,,,
