,0,1,2
0,Didahului oleh:Joe Purcell (pejabat),Gubernur Arkansas1979 – 1981,Diteruskan oleh:Frank D. White
1,Didahului oleh:Frank D. White,Gubernur Arkansas1983 – 1992,Diteruskan oleh:Jim Guy Tucker
2,Didahului oleh:Lamar Alexander Tennessee,Ketua Umum Asosiasi Gubernur Nasional1986 – 1987,Diteruskan oleh:John H. Sununu New Hampshire
3,Didahului oleh:George H. W. Bush,Presiden Amerika Serikat20 Januari 1993 – 20 Januari 2001,Diteruskan oleh:George W. Bush
4,Didahului oleh:Jacques Chirac (Prancis),Ketua Kelompk Delapan Negara1997,Diteruskan oleh:Tony Blair (Inggris)
5,Didahului oleh:Michael Dukakis,"Kandidat Presiden Partai Demokrat1992 (menang), 1986 (menang)",Diteruskan oleh:Al Gore
6,Didahului oleh:Jim Guy Tucker,Attorney General of Arkansas1977 – 1979,Diteruskan oleh:Steve Clark
7,Didahului oleh:Ted Turner,Tokoh Tahunan versi Time1992,"Diteruskan oleh:Peacemakers: Nelson Mandela, F.W. de Klerk, Yasser Arafat, dan Yitzhak Rabin"
8,Didahului oleh:Andy Grove,Tokoh Tahunan versi Time1998 dengan Kenneth Starr,Diteruskan oleh:Jeffrey P. Bezos
