,0,1,2
0,Legislatif Supranasional[sunting | sunting sumber],Legislatif Supranasional[sunting | sunting sumber],Legislatif Supranasional[sunting | sunting sumber]
1,Organisasi,Nama Legislatif,Nama Legislatif
2,Organisasi,Majelis Rendah,Majelis Tinggi
3,Uni Eropa,,
4,Uni Eropa,Parlemen Eropa,Dewan Uni Eropa
5,Legislatif dengan negara diakui[sunting | sunting sumber],Legislatif dengan negara diakui[sunting | sunting sumber],Legislatif dengan negara diakui[sunting | sunting sumber]
6,Nama Negara,Nama Legislatif,Nama Legislatif
7,Nama Negara,Majelis Rendah,Majelis Tinggi
8,Afganistan,Majelis Nasional (National Assembly)[1],Majelis Nasional (National Assembly)[1]
9,Afganistan,Dewan Rakyat (ولسي جرګه Wolesi Jirga),Dewan Sesepuh (مشرانوجرګه Meshrano Jirga)
10,Albania,Majelis (Kuvendi i Shqipërisë),Majelis (Kuvendi i Shqipërisë)
11,Aljazair,Parlemen (Parliament)[1],Parlemen (Parliament)[1]
12,Aljazair,Majelis Rakyat Nasional (al-Majlis al-Sha'abi al-Watani),Dewan Nasional (al-Majlis al-Umma)
13,Andorra,Dewan Jenderal (Consell General de les Valls),Dewan Jenderal (Consell General de les Valls)
14,Angola,Majelis Nasional (Assembleia Nacional),Majelis Nasional (Assembleia Nacional)
15,Antigua dan Barbuda,Parlemen (Parliament)[2],Parlemen (Parliament)[2]
16,Antigua dan Barbuda,DPR (House of Representatives),Senat (Senate)
17,Argentina,Kongres Nasional (Congreso de la Nación Argentina),Kongres Nasional (Congreso de la Nación Argentina)
18,Argentina,Dewan Perwakilan Nasional (Cámara de Diputados de la Nación),Senat (Senado de la Nación)
19,Armenia,Majelis Nasional (Ազգային Ժողով Azgayin Zhoghov),Majelis Nasional (Ազգային Ժողով Azgayin Zhoghov)
20,Australia,Parlemen (Parliament)[2],Parlemen (Parliament)[2]
21,Australia,DPR (House of Representatives),Senat (Senate)
22,Austria,Majelis Federal (Bundesversammlung),Majelis Federal (Bundesversammlung)
23,Austria,Dewan Nasional (Nationalrat),Dewan Federal (Bundesrat)
24,Azerbaijan,Majelis Nasional (Milli Məclis),Majelis Nasional (Milli Məclis)
25,Bahama,Parlemen (Parliament),Parlemen (Parliament)
26,Bahama,Majelis Perwakilan (House of Assembly),Senat (Senate)
27,Bahrain,Majelis Nasional (National Assembly)[1],Majelis Nasional (National Assembly)[1]
