,M o n a r k i,F o t o,L a h i r,P e r n i k a h a n,M e n i n g g a l,K l a i m   T a k h t a
0,"George V George Frederick Ernest Albert 6 Mei 1910 – 20 Januari 1936 (25 tahun, 259 hari)",,3 Juni 1865Kediaman Marlborough Putra dari Edward VII dan Alexandra dari Denmark[2],Mary6 Juli 1893Istana St. James6 anak[2],20 Januari 1936Kediaman SandringhamUsia 70 tahun[2],Putra dari Edward VII
1,Edward VIII Edward Albert Christian George Andrew Patrick David 20 Januari 1936 – 11 Desember 1936[3] (326 hari) (turun tahta secara sukarela),,"23 Juni 1894Pondok White, Taman Richmond Putra dari George V dan Mary[3]",Wallis SimpsonChâteau de Candé3 Juni 1937Tidak mempunyai anak[3],28 Mei 1972Neuilly-sur-SeineUsia 77 tahun[3],Putra dari George V
2,"George VI Albert Frederick Arthur George 11 Desember 1936 – 6 Februari 1952 (15 tahun, 54 hari)",,14 Desember 1895Kediaman Sandringham Putra dari George V dan Mary[3],Elizabeth Bowes-LyonGereja Westminster Abbey26 April 19232 anak[3],6 Februari 1952Kediaman SandringhamUsia 56 tahun[3],Putra dari George V
3,"Elizabeth II Elizabeth Alexandra Mary 6 Februari 1952 – 8 September 2022 (71 tahun, 56 hari)",,21 April 1926Mayfair Putri dari George VI dan Elizabeth[4],"Philip, Adipati EdinburghWestminster Abbey20 November 19474 anak[4]",8 September 2022 Istana Balmoral Usia 96 tahun,Putri dari George VI
4,Charles III Charles Philip Arthur George 8 September 2022 (207 hari),,"14 November 1948Istana Buckingham Putra dari Elizabeth II dan Pangeran Philip, Adipati Edinburgh",(1) Lady Diana SpencerKatedral Santo Paulus29 Juli 1981 2 Putra.  (2) Camilla Rosemary ShandWindsor Guidhall 9 April 2005 Tidak Mempunyai Anak,"Masih Hidup Usia (74 tahun, 140 hari)",Putra dari Elizabeth II
