,K o d e   I N S E E,K o d e   p o s,K o m u n e
0,92002,92160,Antony (CAA)
1,92004,92600,Asnières-sur-Seine
2,92007,92220,Bagneux
3,92009,92270,Bois-Colombes
4,92012,92100,Boulogne-Billancourt (CAB)
5,92014,92340,Bourg-la-Reine (CAA)
6,92019,92290,Châtenay-Malabry (CAA)
7,92020,92320,Châtillon
8,92022,92370,Chaville (CAI)
9,92023,92140,Clamart
10,92024,92110,Clichy
11,92025,92700,Colombes
12,92026,92400,Courbevoie
13,92032,92260,Fontenay-aux-Roses
14,92033,92380,Garches
15,92035,92250,La Garenne-Colombes
16,92036,92230,Gennevilliers
17,92040,92130,Issy-les-Moulineaux (CAI)
18,92044,92300,Levallois-Perret
19,92046,92240,Malakoff
20,92047,92430,Marnes-la-Coquette
21,92048,92190,Meudon (CAI)
22,92049,92120,Montrouge
23,92050,92000,Nanterre
24,92051,92200,Neuilly-sur-Seine
25,92060,92350,Le Plessis-Robinson (CAA)
26,92062,92800,Puteaux
27,92063,92500,Rueil-Malmaison
28,92064,92210,Saint-Cloud
29,92071,92330,Sceaux (CAA)
30,92072,92310,Sèvres (CAB)
31,92073,92150,Suresnes
32,92075,92170,Vanves (CAI)
33,92076,92420,Vaucresson
34,92077,92410,Ville-d'Avray (CAI)
35,92078,92390,Villeneuve-la-Garenne
