,N a m a,M i o g l o b i n,K a t e g o r i   U S D A
0,Dada ayam,"0,005% [5]",Daging putih [6]
1,Paha ayam,"0,18 - 0,20% [5]",Daging gelap
2,Paha kalkun,"0,25 - 0,30% [5]",Daging gelap
3,Babi,"0,10 - 0,30% [5]",Daging merah [6]
4,Daging sapi muda,"0,10 - 0,30% [5]",Daging merah [6]
5,Daging sapi,"0,40 - 1,00% [5]",Daging merah [6]
6,Daging sapi tua,"1,50 - 2,00% [5]",Daging merah [6]
