,D a r i   C e l s i u s,K e   C e l s i u s
0,[°F] = [°C] × 9⁄5 + 32,[°C] = ([°F] − 32) × 5⁄9
1,"[K] = [°C] + 273,15","[°C] = [K] − 273,15"
2,"[°R] = ([°C] + 273,15) × 9⁄5","[°C] = ([°R] − 491,67) × 5⁄9"
3,"Untuk rumus interval suhu alih-alih suhu tertentu,1 °C = 1 K = 9⁄5 °F = 9⁄5 °RPerbandingan di antara berbagai skala suhu","Untuk rumus interval suhu alih-alih suhu tertentu,1 °C = 1 K = 9⁄5 °F = 9⁄5 °RPerbandingan di antara berbagai skala suhu"
