,0,1,2,3
0,Kata Ganti Orang,Tunggal,Jamak,Jamak
1,Kata Ganti Orang,Tunggal,Inklusif[3],Eksklusif[3]
2,orang pertama,"/aku/, /sajə/, /kamɛʔ/, /kitə/",/kamɛʔ/,/kitə/
3,orang kedua,"/kau/, /kamu/, /awaʔ/","/kitaʔ/[3] , /kalian/[3], /awaʔ səmuə/","/kitaʔ/[3] , /kalian/[3], /awaʔ səmuə/"
4,orang ketiga,"/diə/, /bəliau̯/[3]","/mərekə/[3], /diə/","/mərekə/[3], /diə/"
