,#,R e p u b l i k,P e t a   U n i   S o v i e t   ( 1 9 5 6 – 1 9 9 1 )
0,1,RSFS Rusia,
1,2,RSS Ukraina,
2,3,RSS Byelorusia,
3,4,RSS Uzbekistan,
4,5,RSS Kazakhstan,
5,6,RSS Georgia,
6,7,RSS Azerbaijan,
7,8,RSS Lituania,
8,9,RSS Moldova,
9,10,RSS Latvia,
10,11,RSS Kirgizstan,
11,12,RSS Tajikistan,
12,13,RSS Armenia,
13,14,RSS Turkmenistan,
14,15,RSS Estonia,
