,S u p e r f i l u m,F i l u m,G e n e r a   R e p r e s e n t a t i f,D e s k r i p s i
0,Discoba,Euglenozoa,"contoh Euglena, Trypanosoma","Banyak parasit penting, satu kelompok yang berplastida (kloroplas)."
1,Discoba,Percolozoa (Heterolobosea),"contoh Naegleria, Acrasis",Banyak yang berganti-ganti bentuk antara bentuk berflagel dan amoeboid (mirip amoeba).
2,Discoba,Loukozoa (Jakobida),"contoh Jakoba, Reclinomonas","Hidup bebas, kadang-kadang berflagel lorikat. Beberapa anggotanya amitokondriata."
3,Metamonada,Preaxostyla,"contoh Oxymonads, Trimastix","Flagelata amitokontriata, ada yang hidup bebas (Trimastix) atau hidup di usus belakang serangga"
4,Metamonada,Fornicata,"contoh Giardia, Carpediemonas","Amitokondriata, kebanyakan bersimbiosis dan parasit binatang."
5,Metamonada,Parabasalia,contoh Trichomonas,"Flagelata amitokontriata, biasanya komensal di usus serangga. Beberapa penyebab penyakit manusia."
