,P u l a u   k e c i l ( n a m a   d a l a m   b a h a s a   M e l a y u ),T e r j e m a h a n   d a l a m   n a m a   m e l a y u,N a m a   d a l a m   b a h a s a   I n g g r i s,A r e a ( p e r k i r a a n ),A r e a ( p e r k i r a a n )
0,Pulau Luar,Outer Island,Horsburgh Island,104.0,4015.0
1,Pulau Tikus,Mouse Island,Direction Island,,
2,Pulau Pasir,Sand Island,Workhouse Island,1.0,39.0
3,Pulau Beras,Rice Island,Prison Island,2.0,77.0
4,Pulau Gangsa,Copper Island,"Closed sandbar, now part of Home Island",1.0,39.0
5,Pulau Selma,,Home Island,95.0,3668.0
6,Pulau Ampang Kechil,Little Ampang Island,Scaevola Islet,1.0,39.0
7,Pulau Ampang,Ampang Island,Canui Island,6.0,232.0
8,Pulau Wa-idas,,Ampang Minor,2.0,77.0
9,Pulau Blekok,Reef Heron Island,Goldwater Island,3.0,116.0
10,Pulau Kembang,Flower Island,Thorn Island,4.0,154.0
11,Pulau Cheplok,Cape Gooseberry Island,Gooseberry Island,1.0,39.0
12,Pulau Pandan,Pandanus Island,Misery Island,24.0,927.0
13,Pulau Siput,Shell Island,Goat Island,10.0,386.0
14,Pulau Jambatan,Bridge Island,Middle Mission Isle,1.0,39.0
15,Pulau Labu,Pumpkin Island,South Goat Island,4.0,154.0
16,Pulau Atas,Up Wind Island,South Island,363.0,14016.0
17,Pulau Kelapa Satu,One Coconut Island,North Goat Island,2.0,77.0
18,Pulau Blan,,East Cay,3.0,116.0
19,Pulau Blan Madar,,Burial Island,3.0,116.0
20,Pulau Maria,Maria Island,West Cay,1.0,39.0
21,Pulau Kambing,Goat Island,Keelingham Horn Island,1.0,39.0
22,Pulau Panjang,Long Island,West Island,623.0,24054.0
23,Pulau Wak Bangka,,Turtle Island,22.0,849.0
