,K a t a,T e r j e m a h a n,P e l a f a l a n
0,Bumi,tèrra,[ˈtɛrrɔ]
1,Langit,cèu,[ˈsɛw]
2,Air,aiga,[ˈajɣɔ]
3,Api,huec,[ˈ(h)wɛk]
4,Laki-laki,òmi/òme,[ˈɔmi]/[ˈɔme]
5,Perempuan,hemna,[ˈ(h)ennɔ]
6,Makan,minjar/manjar,[minˈʒa]/[manˈ(d)ʒa]
7,Minum,béver,[ˈbewe]/[ˈbeβe]
8,Besar,gran,[ˈɡran]
9,Kecil,petit/pichon/pichòt,[peˈtit]/[piˈtʃu]/[piˈtʃɔt]
10,Malam,nueit,[ˈnɥejt]
11,Hari,dia/jorn,[ˈdia]/[ˈ(d)ʒur]
