,0 o,2 0 o,5 0 o,1 0 0 o
0,0.99987,0.99823,0.9981,0.9584
1,1.0074,0.9988,0.9985,1.0069
2,597.3,586.0,569.0,539.0
3,1.39 × 10−3,1.40 × 10−3,1.52 × 10−3,1.63 × 10−3
4,75.64,72.75,67.91,58.80
5,87.825,80.8,69.725,55.355
6,178.34 × 10−4,100.9 × 10−4,54.9 × 10−4,28.4 × 10−4
7,-,-,-,-
