,B a h a s a,1,2,3,4,5,6,7,8,9,1 0
0,Bahasa Inggris,one,two,three,four,five,six,seven,eight,nine,ten
1,Bahasa Skotlandia,ane,twa,three,fower,five,sax,seiven,aicht,nine,ten
2,Yola,oan,twye,dhree,vour,veeve,zeese,zeven,ayght,neen,dhen
3,Frisia Barat,ien,twa,trije,fjouwer,fiif,seis,sân,acht,njoggen,tsien
4,Saterland Frisian,aan,twäitwäintwoo,träi,fjauwer,fieuw,säks,soogen,oachte,njugen,tjoon
5,Frisia Utara,iinjån,toutuu,triitra,fjouer,fiiw,seeks,soowen,oocht,nüügen,tiin
