,H u r u f   b e s a r,H u r u f   k e c i l,I P A,H u r u f   b e s a r . 1,H u r u f   k e c i l . 1,I P A . 1
0,A,a,/ɑː/,N,n,/ɛn/
1,B,b,/be/,O,o,/o/
2,C,c,/se/,P,p,/p/
3,D,d,/de/,Q,q,/ky/
4,E,e,/ø/,R,r,/ɛʁ/
5,F,f,/ɛf/,S,s,/ɛs/
6,G,g,/ʒe/,T,t,/te/
7,H,h,/aʃ/,U,u,/y/
8,I,i,/i/,V,v,/ve/
9,J,j,/ʒi/,W,w,/dubləve/
10,K,k,/ka/,X,x,/iks/
11,L,l,/ɛl/,Y,y,/iɡʁɛk/
12,M,m,/ɛm/,Z,z,/zɛd/
