,0,1,2
0,Kambisus II Dinasti AkhemeniyahLahir: ?? Meninggal: 522 SM,Kambisus II Dinasti AkhemeniyahLahir: ?? Meninggal: 522 SM,Kambisus II Dinasti AkhemeniyahLahir: ?? Meninggal: 522 SM
1,Didahului oleh:Koresy Agung,Raja Diraja Iran530 – Juli 522 SM,Diteruskan oleh:Bardiya
2,Didahului oleh:Psamtik III,Firaun Mesir525 – Juli 522 SM,Diteruskan oleh:Bardiya
