,P o p u l a s i [ 3 6 ],P o p u l a s i [ 3 6 ],P o p u l a s i [ 3 6 ],P o p u l a s i [ 3 6 ]
0,1971,7.0,,
1,1990,12.2,,
2,2009,19.5,,
3,2016,23.4,,
4,Source: OECD/World Bank,Source: OECD/World Bank,,
