,D a r i   R é a u m u r,K e   R é a u m u r
0,[°C] = [°Ré] × 5⁄4,[°Ré] = [°C] × ⅘
1,[°F] = [°Ré] × 9⁄4 + 32,[°Ré] = ([°F] − 32) × 4⁄9
2,"[K] = [°Ré] × 5⁄4 + 273,15","[°Ré] = ([K] − 273,15) × ⅘"
3,"[°R] = [°Ré] × 9⁄4 + 491,67","[°Ré] = ([°R] − 491,67) × 4⁄9"
4,"Untuk rumus interval suhu alih-alih suhu tertentu,1 °Ré = 1.25 °C = 2.25 °FPerbandingan di antara berbagai skala suhu","Untuk rumus interval suhu alih-alih suhu tertentu,1 °Ré = 1.25 °C = 2.25 °FPerbandingan di antara berbagai skala suhu"
