,T i t i k   k o d e,T i t i k   k o d e . 1,H u r u f   b e s a r L,H u r u f   k e c i l l
0,Unicode,Unicode,U+004C,U+006C
1,ASCII,Desimal,76,108
2,ASCII,Biner,01001100,01101100
3,EBCDIC,EBCDIC,211,147
