,J e n i s,E f i s i e n s i   l a m p u,l u m e n / W a t t
0,Lampu pijar 40 Watt,1.9%,12.6[22]
1,Lampu pijar 60 Watt,2.1%,14.5[22]
2,Lampu pijar 100 Watt,2.6%,17.5[22]
3,Radiator benda hitam 4000 K ideal,7.0%,47.5[24]
4,Radiator benda hitam 7000 K ideal,14%,95[24]
5,Sumber cahaya monokromatis 555 nm (hijau) ideal,100%,683[1][25]
