,N o .,P o s .,N e g a r a,P e m a i n
0,1,GK,FRA,Illan Meslier
1,2,DF,ENG,Luke Ayling (wakil kapten)
2,3,DF,ESP,Junior Firpo
3,4,MF,ENG,Adam Forshaw
4,5,DF,GER,Robin Koch
5,6,DF,SCO,Liam Cooper (captain)
6,9,FW,ENG,Patrick Bamford
7,10,MF,BRA,Raphinha
8,11,FW,WAL,Tyler Roberts
9,13,GK,NOR,Kristoffer Klaesson
10,14,DF,ESP,Diego Llorente
11,15,DF,NIR,Stuart Dallas
12,19,FW,ESP,Rodrigo
13,20,MF,WAL,Daniel James
